Unnamed: 0,RBD,NOM_RBD,NOM_COM_RBD,NOM_DEPROV_RBD,LATITUD,LONGITUD,n_postulaciones,vacantes,n_postulaciones_p,vacantes_p
6994,8485,LICEO INSTITUTO NACIONAL,SANTIAGO,SANTIAGO CENTRO,-33.44487089999999,-70.65030401,2366.0,1039.0,0.004704806220048122,0.004139029977093915
6996,8487,LICEO JAVIERA CARRERA,SANTIAGO,SANTIAGO CENTRO,-33.43921052,-70.65729306,1232.0,850.0,0.002449839925232158,0.003386116920625436
6997,8488,LICEO N° 4 BICENTENARIO ISAURA DINATOR,SANTIAGO,SANTIAGO CENTRO,-33.44560481,-70.67929193,164.0,196.0,0.00032611505498220285,0.000780798725226571
6998,8489,LICEO BICENTENARIO TERESA PRATS,SANTIAGO,SANTIAGO CENTRO,-33.47070985,-70.64581436,279.0,300.0,0.0005547932947563085,0.0011951000896325067
6999,8490,LICEO NRO 2 MIGUEL LUIS AMUNATEGUI,SANTIAGO,SANTIAGO CENTRO,-33.44366876,-70.67585032,386.0,197.0,0.0007675634830678677,0.0007847823921920127
7000,8491,LICEO DE APLICACION RECTOR JORGE E SCHNE,SANTIAGO,SANTIAGO CENTRO,-33.44093916,-70.66271986,447.0,637.0,0.0008888623754697846,0.002537595856986356
7001,8492,LICEO MANUEL BARROS BORGONO,SANTIAGO,SANTIAGO CENTRO,-33.46696348999999,-70.64888825,473.0,387.0,0.0009405635427230607,0.0015416791156259338
7002,8494,LICEO A-1 VALENTIN LETELIER,RECOLETA,SANTIAGO NORTE,-33.42673966,-70.64545088,412.0,373.0,0.0008192646503211438,0.00148590777810975
7003,8495,LICEO CONFEDERACION SUIZA,SANTIAGO,SANTIAGO CENTRO,-33.451304,-70.63777581,284.0,203.0,0.0005647358269204001,0.0008086843939846629
7004,8496,LICEO JOSÉ DE SAN MARTIN,SANTIAGO,SANTIAGO CENTRO,-33.45613414,-70.65322898,460.0,152.0,0.0009147129590964226,0.0006055173787471367
7005,8497,LICEO GABRIELA MISTRAL,INDEPENDENCIA,SANTIAGO NORTE,-33.4160467,-70.65675624,1087.0,219.0,0.002161506492473503,0.0008724230654317299
7006,8498,LICEO DARIO SALAS,SANTIAGO,SANTIAGO CENTRO,-33.455643,-70.66915552,859.0,628.0,0.0017081270257909285,0.0025017428542973806
7007,8499,INTERNADO NACIONAL BARROS ARANA,SANTIAGO,SANTIAGO CENTRO,-33.4388735,-70.68307302,436.0,257.0,0.0008669888047087832,0.001023802410118514
7008,8500,LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS,SANTIAGO,SANTIAGO CENTRO,-33.43735876,-70.66281847,523.0,408.0,0.0010399888643639762,0.0016253361219002091
7009,8501,LICEO POLITEC. PDTE. GABRIEL GONZALEZ VIDELA,SANTIAGO,SANTIAGO CENTRO,-33.45007738,-70.63732245,376.0,317.0,0.0007476784187396846,0.0012628224280450155
7010,8502,LICEO COMERCIAL LUIS CORREA PRIETO,RECOLETA,SANTIAGO NORTE,-33.42213647,-70.64351607,597.0,245.0,0.0011871383403925311,0.0009759984065332138
7011,8503,INST.SUP.DE COMERCIO EDUARDO FREI M.,SANTIAGO,SANTIAGO CENTRO,-33.44209714,-70.65630131,1047.0,424.0,0.002081966235160771,0.0016890747933472762
7012,8504,LICEO TECNICO A N° 27 CLELIA CLAVEL DINAT,SANTIAGO,SANTIAGO CENTRO,-33.44304696999999,-70.67052414,728.0,285.0,0.0014476326830917298,0.0011353450851508814
7013,8505,LICEO POLIVALENTE A-28 EMILIA TORO DE BAL,SANTIAGO,SANTIAGO CENTRO,-33.44102148999999,-70.67965152,486.0,425.0,0.0009664141263496988,0.001693058460312718
7014,8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,SANTIAGO,SANTIAGO CENTRO,-33.43851658,-70.67837947,631.0,379.0,0.0012547475591083536,0.0015098097799024002
7015,8507,LICEO COMERCIAL JOAQUIN VERA MORALES,SANTIAGO,SANTIAGO CENTRO,-33.45549342,-70.66865263,714.0,454.0,0.0014197935930322734,0.0018085848023105268
7016,8508,LICEO POLIVALENTE JUAN A.RIOS,QUINTA NORMAL,SANTIAGO PONIENTE,-33.43160765999999,-70.68697808,283.0,233.0,0.0005627473204875817,0.0009281944029479136
7017,8510,LICEO PAULA JARAQUEMADA,RECOLETA,SANTIAGO NORTE,-33.42596186,-70.64693479,185.0,213.0,0.00036787369007138735,0.0008485210636390798
7019,8513,ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY,SANTIAGO,SANTIAGO CENTRO,-33.44986649,-70.64029999,966.0,161.0,0.0019208972141024877,0.0006413703814361119
7020,8514,LICEO MULTIGENERO DOCTORA ELOISA DIAZ INZUNZA,INDEPENDENCIA,SANTIAGO NORTE,-33.40979197,-70.66251778,471.0,440.0,0.0009365865298574241,0.0017528134647943432
7021,8515,ESCUELA BASICA CORNELIA OLIVARES,INDEPENDENCIA,SANTIAGO NORTE,-33.42314179,-70.65681424,434.0,67.0,0.0008630117918431466,0.00026690568668459315
7022,8518,LICEO ESTACION CENTRAL,ESTACIÓN CENTRAL,SANTIAGO PONIENTE,-33.45660624,-70.69843202,1262.0,168.0,0.0025094951182167073,0.0006692560501942037
7023,8519,ESCUELA BASICA PEDRO AGUIRRE CERDA,CERRILLOS,SANTIAGO PONIENTE,-33.48183895999999,-70.69316402,86.0,99.0,0.00017101155322237467,0.0003943830295787272
7024,8520,ESCUELA BASICA PROVINCIA DE CHILOE,SANTIAGO,SANTIAGO CENTRO,-33.47074552,-70.67136899,303.0,176.0,0.000602517449143948,0.0007011253859177373
7025,8521,ESCUELA CARLOS CONDELL DE LA HAZA,ESTACIÓN CENTRAL,SANTIAGO PONIENTE,-33.46146352,-70.70038386,923.0,188.0,0.0018353914374913004,0.0007489293895030375
7026,8522,ESCUELA BASICA REPUBLICA DE COLOMBIA,SANTIAGO,SANTIAGO CENTRO,-33.45423061,-70.67438866,444.0,142.0,0.0008828968561713297,0.0005656807090927198
7027,8523,ESCUELA BASICA REPUBLICA DE PANAMA,SANTIAGO,SANTIAGO CENTRO,-33.44242110999999,-70.67800391,330.0,137.0,0.0006562071228300424,0.0005457623742655114
7031,8530,ESCUELA CADETE ARTURO PRAT CHACON,SANTIAGO,SANTIAGO CENTRO,-33.44870941,-70.65670874,1094.0,261.0,0.0021754260375032313,0.0010397370779802809
7032,8531,ESCUELA BASICA IRENE FREI DE CID,SANTIAGO,SANTIAGO CENTRO,-33.46779187,-70.644024,842.0,175.0,0.0016743224164330172,0.0006971417189522956
7033,8532,ESCUELA BASICA LIBERTADORES DE CHILE,SANTIAGO,SANTIAGO CENTRO,-33.4359531,-70.66203467,416.0,108.0,0.0008272186760524171,0.0004302360322677024
