color,lat,lon
#e6194B,-33.37273641,-70.68165689
#e6194B,-33.62469711,-70.63191481
#e6194B,-33.53469004,-70.62503439
#e6194B,-33.53470899,-70.61661188
#e6194B,-33.42571242,-70.71782084
#e6194B,-33.62627936,-70.62861516
#e6194B,-33.42543238999999,-70.7417655
#e6194B,-33.42075718,-70.75495826
#e6194B,-33.50184025,-70.64207914
#e6194B,-33.51833178999999,-70.65094544
#e6194B,-33.53194426999999,-70.63607961
#e6194B,-33.46759027,-70.55256971
#e6194B,-33.46597083999999,-70.53484915
#e6194B,-33.54569449,-70.61426924
#e6194B,-33.55212414999999,-70.68780458
#e6194B,-33.47334162,-70.55628037
#e6194B,-33.43726595999999,-70.7395033
#e6194B,-33.50569342,-70.62432593
#e6194B,-33.49015442,-70.63231794
#e6194B,-33.50185316999999,-70.60692882
#3cb44b,-33.34877,-70.72874
#3cb44b,-33.53789493,-70.55470427
#3cb44b,-33.55054840999999,-70.67636413
#3cb44b,-33.45381458,-70.70763408
#3cb44b,-33.36855,-70.7349
#3cb44b,-33.49246269,-70.5827351
#3cb44b,-33.46507532999999,-70.74134678
#3cb44b,-33.47473147,-70.56402106
#3cb44b,-33.51055005,-70.77584284
#3cb44b,-33.62186771999999,-70.62803369
#3cb44b,-33.49202364,-70.58759761
#3cb44b,-33.46597083999999,-70.53484915
#3cb44b,-33.57514960999999,-70.68814461
#3cb44b,-33.40415999999999,-70.70272
#3cb44b,-33.36231712,-70.75345495
#3cb44b,-33.50340173,-70.76915488
#3cb44b,-33.42281724,-70.74179704
#3cb44b,-33.40665113,-70.65270934
#3cb44b,-33.54412769999999,-70.6558275
#3cb44b,-33.5169844,-70.62132417
#ffe119,-33.41775922,-70.67122612
#ffe119,-33.41236812999999,-70.63803656
#ffe119,-33.48936244,-70.65774866
#ffe119,-33.40191141999999,-70.6775681
#ffe119,-33.48231926999999,-70.59805219
#ffe119,-33.52308161,-70.58408239
#ffe119,-33.53514405,-70.59832597
#ffe119,-33.4051111,-70.64571246
#ffe119,-33.49202364,-70.58759761
#ffe119,-33.53942493,-70.65746279
#ffe119,-33.5380661,-70.5772881
#ffe119,-33.50071076999999,-70.63132535
#ffe119,-33.47361062,-70.70516895
#ffe119,-33.46780934,-70.64853307
#ffe119,-33.40665113,-70.65270934
#ffe119,-33.47042141,-70.57966498
#ffe119,-33.41894040999999,-70.66943496
#ffe119,-33.43921052,-70.65729306
#ffe119,-33.50360544,-70.71201881
#ffe119,-33.34877,-70.72874
#4363d8,-33.5391701,-70.66773135
#4363d8,-33.50971455,-70.76739117
#4363d8,-33.4994248,-70.74433865
#4363d8,-33.56434498,-70.64427002
#4363d8,-33.4905266,-70.58173117
#4363d8,-33.36805171,-70.73249527
#4363d8,-33.528244,-70.79683
#4363d8,-33.52168114,-70.77094562
#4363d8,-33.50159819,-70.75715676
#4363d8,-33.53789493,-70.55470427
#4363d8,-33.36855,-70.7349
#4363d8,-33.5169844,-70.62132417
#4363d8,-33.55054840999999,-70.67636413
#4363d8,-33.42281724,-70.74179704
#4363d8,-33.5151854,-70.7642677
#4363d8,-33.47473147,-70.56402106
#4363d8,-33.40020342999999,-70.65111465
#4363d8,-33.5172332,-70.77519763
#4363d8,-33.55323038,-70.60185182
