color,lat,lon
#e6194B,-33.58052226,-70.67720368
#e6194B,-33.46341747,-70.65124299
#e6194B,-33.43189241,-70.66987309
#e6194B,-33.47074650999999,-70.6918583
#e6194B,-33.45942826,-70.67636398
#e6194B,-33.4388735,-70.68307302
#e6194B,-33.47529212,-70.6949904
#e6194B,-33.45907849,-70.58108893
#e6194B,-33.48701873,-70.63272118
#e6194B,-33.50562657999999,-70.56752254
#e6194B,-33.45858943,-70.69222383
#e6194B,-33.51034677,-70.57883891
#e6194B,-33.4498298,-70.57258566
#e6194B,-33.43021573,-70.64040626
#e6194B,-33.47936438,-70.68673501
#e6194B,-33.44487089999999,-70.65030401
#e6194B,-33.53079557,-70.66546386
#e6194B,-33.46615535,-70.65276247
#e6194B,-33.49354701,-70.73619742
#e6194B,-33.45481469,-70.66141001
#3cb44b,-33.58052226,-70.67720368
#3cb44b,-33.46341747,-70.65124299
#3cb44b,-33.43189241,-70.66987309
#3cb44b,-33.47074650999999,-70.6918583
#3cb44b,-33.45942826,-70.67636398
#3cb44b,-33.4388735,-70.68307302
#3cb44b,-33.47529212,-70.6949904
#3cb44b,-33.45907849,-70.58108893
#3cb44b,-33.48701873,-70.63272118
#3cb44b,-33.50562657999999,-70.56752254
#3cb44b,-33.45858943,-70.69222383
#3cb44b,-33.51034677,-70.57883891
#3cb44b,-33.4498298,-70.57258566
#3cb44b,-33.43021573,-70.64040626
#3cb44b,-33.47936438,-70.68673501
#3cb44b,-33.44487089999999,-70.65030401
#3cb44b,-33.53079557,-70.66546386
#3cb44b,-33.46615535,-70.65276247
#3cb44b,-33.49354701,-70.73619742
#3cb44b,-33.45481469,-70.66141001
#ffe119,-33.58052226,-70.67720368
#ffe119,-33.46341747,-70.65124299
#ffe119,-33.43189241,-70.66987309
#ffe119,-33.47074650999999,-70.6918583
#ffe119,-33.45942826,-70.67636398
#ffe119,-33.4388735,-70.68307302
#ffe119,-33.47529212,-70.6949904
#ffe119,-33.45907849,-70.58108893
#ffe119,-33.48701873,-70.63272118
#ffe119,-33.50562657999999,-70.56752254
#ffe119,-33.45858943,-70.69222383
#ffe119,-33.51034677,-70.57883891
#ffe119,-33.4498298,-70.57258566
#ffe119,-33.43021573,-70.64040626
#ffe119,-33.47936438,-70.68673501
#ffe119,-33.44487089999999,-70.65030401
#ffe119,-33.53079557,-70.66546386
#ffe119,-33.46615535,-70.65276247
#ffe119,-33.49354701,-70.73619742
#ffe119,-33.45481469,-70.66141001
#4363d8,-33.58052226,-70.67720368
#4363d8,-33.46341747,-70.65124299
#4363d8,-33.43189241,-70.66987309
#4363d8,-33.47074650999999,-70.6918583
#4363d8,-33.45942826,-70.67636398
#4363d8,-33.4388735,-70.68307302
#4363d8,-33.47529212,-70.6949904
#4363d8,-33.45907849,-70.58108893
#4363d8,-33.48701873,-70.63272118
#4363d8,-33.50562657999999,-70.56752254
#4363d8,-33.45858943,-70.69222383
#4363d8,-33.51034677,-70.57883891
#4363d8,-33.4498298,-70.57258566
#4363d8,-33.43021573,-70.64040626
#4363d8,-33.47936438,-70.68673501
#4363d8,-33.44487089999999,-70.65030401
#4363d8,-33.53079557,-70.66546386
#4363d8,-33.46615535,-70.65276247
#4363d8,-33.49354701,-70.73619742
#4363d8,-33.45481469,-70.66141001
#f58231,-33.58052226,-70.67720368
#f58231,-33.46341747,-70.65124299
#f58231,-33.43189241,-70.66987309
#f58231,-33.47074650999999,-70.6918583
#f58231,-33.45942826,-70.67636398
#f58231,-33.4388735,-70.68307302
#f58231,-33.47529212,-70.6949904
#f58231,-33.45907849,-70.58108893
#f58231,-33.48701873,-70.63272118
#f58231,-33.50562657999999,-70.56752254
#f58231,-33.45858943,-70.69222383
#f58231,-33.51034677,-70.57883891
#f58231,-33.4498298,-70.57258566
#f58231,-33.43021573,-70.64040626
#f58231,-33.47936438,-70.68673501
#f58231,-33.44487089999999,-70.65030401
#f58231,-33.53079557,-70.66546386
#f58231,-33.46615535,-70.65276247
#f58231,-33.49354701,-70.73619742
#f58231,-33.45481469,-70.66141001
#911eb4,-33.58052226,-70.67720368
#911eb4,-33.46341747,-70.65124299
#911eb4,-33.43189241,-70.66987309
#911eb4,-33.47074650999999,-70.6918583
#911eb4,-33.45942826,-70.67636398
#911eb4,-33.4388735,-70.68307302
#911eb4,-33.47529212,-70.6949904
#911eb4,-33.45907849,-70.58108893
#911eb4,-33.48701873,-70.63272118
#911eb4,-33.50562657999999,-70.56752254
#911eb4,-33.45858943,-70.69222383
#911eb4,-33.51034677,-70.57883891
#911eb4,-33.4498298,-70.57258566
#911eb4,-33.43021573,-70.64040626
#911eb4,-33.47936438,-70.68673501
#911eb4,-33.44487089999999,-70.65030401
#911eb4,-33.53079557,-70.66546386
#911eb4,-33.46615535,-70.65276247
#911eb4,-33.49354701,-70.73619742
#911eb4,-33.45481469,-70.66141001
#42d4f4,-33.58052226,-70.67720368
#42d4f4,-33.46341747,-70.65124299
#42d4f4,-33.43189241,-70.66987309
#42d4f4,-33.47074650999999,-70.6918583
#42d4f4,-33.45942826,-70.67636398
#42d4f4,-33.4388735,-70.68307302
#42d4f4,-33.47529212,-70.6949904
#42d4f4,-33.45907849,-70.58108893
#42d4f4,-33.48701873,-70.63272118
#42d4f4,-33.50562657999999,-70.56752254
#42d4f4,-33.45858943,-70.69222383
#42d4f4,-33.51034677,-70.57883891
#42d4f4,-33.4498298,-70.57258566
#42d4f4,-33.43021573,-70.64040626
#42d4f4,-33.47936438,-70.68673501
#42d4f4,-33.44487089999999,-70.65030401
#42d4f4,-33.53079557,-70.66546386
#42d4f4,-33.46615535,-70.65276247
#42d4f4,-33.49354701,-70.73619742
#42d4f4,-33.45481469,-70.66141001
#f032e6,-33.58052226,-70.67720368
#f032e6,-33.46341747,-70.65124299
#f032e6,-33.43189241,-70.66987309
#f032e6,-33.47074650999999,-70.6918583
#f032e6,-33.45942826,-70.67636398
#f032e6,-33.4388735,-70.68307302
#f032e6,-33.47529212,-70.6949904
#f032e6,-33.45907849,-70.58108893
#f032e6,-33.48701873,-70.63272118
#f032e6,-33.50562657999999,-70.56752254
#f032e6,-33.45858943,-70.69222383
#f032e6,-33.51034677,-70.57883891
#f032e6,-33.4498298,-70.57258566
#f032e6,-33.43021573,-70.64040626
#f032e6,-33.47936438,-70.68673501
#f032e6,-33.44487089999999,-70.65030401
#f032e6,-33.53079557,-70.66546386
#f032e6,-33.46615535,-70.65276247
#f032e6,-33.49354701,-70.73619742
#f032e6,-33.45481469,-70.66141001
#bfef45,-33.58052226,-70.67720368
#bfef45,-33.46341747,-70.65124299
#bfef45,-33.43189241,-70.66987309
#bfef45,-33.47074650999999,-70.6918583
#bfef45,-33.45942826,-70.67636398
#bfef45,-33.4388735,-70.68307302
#bfef45,-33.47529212,-70.6949904
#bfef45,-33.45907849,-70.58108893
#bfef45,-33.48701873,-70.63272118
#bfef45,-33.50562657999999,-70.56752254
#bfef45,-33.45858943,-70.69222383
#bfef45,-33.51034677,-70.57883891
#bfef45,-33.4498298,-70.57258566
#bfef45,-33.43021573,-70.64040626
#bfef45,-33.47936438,-70.68673501
#bfef45,-33.44487089999999,-70.65030401
#bfef45,-33.53079557,-70.66546386
#bfef45,-33.46615535,-70.65276247
#bfef45,-33.49354701,-70.73619742
#bfef45,-33.45481469,-70.66141001
#fabed4,-33.58052226,-70.67720368
#fabed4,-33.46341747,-70.65124299
#fabed4,-33.43189241,-70.66987309
#fabed4,-33.47074650999999,-70.6918583
#fabed4,-33.45942826,-70.67636398
#fabed4,-33.4388735,-70.68307302
#fabed4,-33.47529212,-70.6949904
#fabed4,-33.45907849,-70.58108893
#fabed4,-33.48701873,-70.63272118
#fabed4,-33.50562657999999,-70.56752254
#fabed4,-33.45858943,-70.69222383
#fabed4,-33.51034677,-70.57883891
#fabed4,-33.4498298,-70.57258566
#fabed4,-33.43021573,-70.64040626
#fabed4,-33.47936438,-70.68673501
#fabed4,-33.44487089999999,-70.65030401
#fabed4,-33.53079557,-70.66546386
#fabed4,-33.46615535,-70.65276247
#fabed4,-33.49354701,-70.73619742
#fabed4,-33.45481469,-70.66141001
