color,lat,lon
#e6194B,-33.44709349,-70.69733204
#e6194B,-33.40571652,-70.54043628
#e6194B,-33.52412,-70.75714
#e6194B,-33.3661808,-70.74398967
#e6194B,-33.42700918,-70.64669818
#e6194B,-33.61292102,-70.63783317
#e6194B,-33.44455765,-70.75031812
#e6194B,-33.4523,-70.73445
#e6194B,-33.38288880999999,-70.68198134
#e6194B,-33.40665113,-70.65270934
#e6194B,-33.42673966,-70.64545088
#e6194B,-33.40846399,-70.69571811
#e6194B,-33.41938174,-70.5888458
#e6194B,-33.40377905999999,-70.74172543
#e6194B,-33.53762321,-70.64003838
#e6194B,-33.43735876,-70.66281847
#e6194B,-33.41242581,-70.62560669
#e6194B,-33.38992646,-70.5591368
#e6194B,-33.42557639999999,-70.64835459
#e6194B,-33.50071076999999,-70.63132535
#3cb44b,-33.41270393,-70.6364024
#3cb44b,-33.45355185999999,-70.76140566
#3cb44b,-33.55569419999999,-70.60955746
#3cb44b,-33.56054625,-70.56758681
#3cb44b,-33.4680096,-70.72247585
#3cb44b,-33.3960469,-70.65270549
#3cb44b,-33.62469711,-70.63191481
#3cb44b,-33.53108383,-70.77670525
#3cb44b,-33.56286983999999,-70.58466074
#3cb44b,-33.516888,-70.79149
#3cb44b,-33.42850226,-70.75750255
#3cb44b,-33.419499,-70.74398051
#3cb44b,-33.47534806,-70.64954647
#3cb44b,-33.42659534,-70.6954836
#3cb44b,-33.49381185,-70.71815383
#3cb44b,-33.50679897,-70.6926526
#3cb44b,-33.4482839,-70.71826202
#3cb44b,-33.43710577,-70.73202624
#3cb44b,-33.4659126,-70.60651537
#3cb44b,-33.36686026999999,-70.49618093
#ffe119,-33.44334781,-70.74194066
#ffe119,-33.43302323,-70.63313979
#ffe119,-33.53480093999999,-70.66600328
#ffe119,-33.49851434,-70.77111241
#ffe119,-33.39045097999999,-70.65532689
#ffe119,-33.54411524999999,-70.63420356
#ffe119,-33.37459022,-70.6342271
#ffe119,-33.431055,-70.638258
#ffe119,-33.4359531,-70.66203467
#ffe119,-33.58015446999999,-70.657241
#ffe119,-33.5619201,-70.57469436
#ffe119,-33.55014102,-70.64043938
#ffe119,-33.42865744,-70.75439615
#ffe119,-33.52341083999999,-70.7629265
#ffe119,-33.40298808,-70.72370354
#ffe119,-33.45134779,-70.55039972
#ffe119,-33.47005619,-70.57900221
#ffe119,-33.52988953,-70.69000169
#ffe119,-33.45949842,-70.57035089
#ffe119,-33.47391703,-70.53573365
#4363d8,-33.41702435,-70.63937145
#4363d8,-33.55540974,-70.63301527
#4363d8,-33.39392678,-70.66769374
#4363d8,-33.4659126,-70.60651537
#4363d8,-33.51601294999999,-70.63772036
#4363d8,-33.44071093,-70.73078453
#4363d8,-33.5297624,-70.64272504
#4363d8,-33.48926174999999,-70.62281982
#4363d8,-33.37732411,-70.72770616
#4363d8,-33.41379214,-70.7449497
#4363d8,-33.44957134,-70.63669304
#4363d8,-33.45134779,-70.55039972
#4363d8,-33.40300903,-70.65849407
#4363d8,-33.43972749999999,-70.70999791
#4363d8,-33.62627936,-70.62861516
#4363d8,-33.48664656999999,-70.65290957
#4363d8,-33.54940204999999,-70.56727545
#4363d8,-33.53227153,-70.55365239
#4363d8,-33.4484815,-70.71964465
#4363d8,-33.41750668,-70.73710134
#f58231,-33.42875576,-70.76487576
#f58231,-33.51875351999999,-70.70075043
#f58231,-33.49048136999999,-70.76841575
#f58231,-33.50815139,-70.64717866
#f58231,-33.51616215,-70.63320536
#f58231,-33.38916527,-70.63758855
#f58231,-33.54199024999999,-70.59236863
#f58231,-33.49359197999999,-70.59998406
#f58231,-33.39090138,-70.67481829
#f58231,-33.46739669,-70.60644854
#f58231,-33.39161474,-70.6633083
#f58231,-33.54476588,-70.67765814
#f58231,-33.57698398,-70.66591897
#f58231,-33.52187518,-70.69702942
#f58231,-33.4731034,-70.53794578
#f58231,-33.40571652,-70.54043628
#f58231,-33.50547992,-70.64704376
#f58231,-33.4659126,-70.60651537
#f58231,-33.53388406,-70.66763531
#f58231,-33.54421894,-70.62636681
#911eb4,-33.47205853,-70.65926219
#911eb4,-33.53821765,-70.65680491
#911eb4,-33.54829191,-70.64904628
#911eb4,-33.5619201,-70.57469436
#911eb4,-33.40411,-70.73798
#911eb4,-33.44761407,-70.65796231
#911eb4,-33.55222925,-70.6747734
#911eb4,-33.39700977999999,-70.64567774
#911eb4,-33.47547233,-70.59440777
#911eb4,-33.46597083999999,-70.53484915
#911eb4,-33.40229643,-70.71164013
#911eb4,-33.54664744,-70.60699075
#911eb4,-33.39329536999999,-70.69644571
#911eb4,-33.44318449,-70.67156763
#911eb4,-33.43256326,-70.76105032
#911eb4,-33.40193341,-70.65727563
#911eb4,-33.53281649,-70.69372619
#911eb4,-33.52667979,-70.77176413
#911eb4,-33.57130292,-70.66353185
#911eb4,-33.55008996,-70.66441069
#42d4f4,-33.45476526,-70.63096436
#42d4f4,-33.46832839,-70.56525281
#42d4f4,-33.35985061,-70.63224336
#42d4f4,-33.51866183,-70.6680738
#42d4f4,-33.40298808,-70.72370354
#42d4f4,-33.50066196,-70.63454954
#42d4f4,-33.43726595999999,-70.7395033
#42d4f4,-33.44487089999999,-70.65030401
#42d4f4,-33.5436023,-70.5865
#42d4f4,-33.51429162,-70.56972883
#42d4f4,-33.43515995,-70.60118742
#42d4f4,-33.43167002,-70.72136001
#42d4f4,-33.49969075,-70.75924528
#42d4f4,-33.50110781,-70.7221557
#42d4f4,-33.52135358,-70.65553564
#42d4f4,-33.36231712,-70.75345495
#42d4f4,-33.61517778999999,-70.63084459
#42d4f4,-33.49638757,-70.76061633
#42d4f4,-33.54596999999999,-70.66984
#42d4f4,-33.38882705,-70.64248145
#f032e6,-33.50994356999999,-70.69565764
#f032e6,-33.53113805,-70.66450788
#f032e6,-33.50370494,-70.76348102
#f032e6,-33.50971551,-70.76308151
#f032e6,-33.48771497,-70.73790632
#f032e6,-33.46914868999999,-70.71244689
#f032e6,-33.44133926,-70.69829994
#f032e6,-33.43726595999999,-70.7395033
#f032e6,-33.48005485,-70.58281687
#f032e6,-33.58026544,-70.65106011
#f032e6,-33.49686276,-70.6527186
#f032e6,-33.43719845999999,-70.66974847
#f032e6,-33.36518478,-70.70551471
#f032e6,-33.50016212,-70.78104543
#f032e6,-33.46017922,-70.5807979
#f032e6,-33.45128328,-70.73558746
#f032e6,-33.51482345,-70.68008078
#f032e6,-33.38441333,-70.67975904
#f032e6,-33.57174780999999,-70.68081411
#f032e6,-33.5631798,-70.57868989
#bfef45,-33.48054588,-70.65530066
#bfef45,-33.43702459,-70.75238365
#bfef45,-33.39812655,-70.63977774
#bfef45,-33.54052316,-70.67740416
#bfef45,-33.48005485,-70.58281687
#bfef45,-33.42563894,-70.55495696
#bfef45,-33.56457979,-70.57971505
#bfef45,-33.49069933,-70.77983929
#bfef45,-33.45007738,-70.63732245
#bfef45,-33.46696348999999,-70.64888825
#bfef45,-33.51313398,-70.63066628
#bfef45,-33.50924638,-70.73827342
#bfef45,-33.44252746,-70.71958863
#bfef45,-33.44500196,-70.69434789
