mrun;lat_con_error;lon_con_error;recomendaciones_als;recomendaciones_lightfm;ubicaciones_als;ubicaciones_lightfm
935601;-33,4019837;-70,7375197;[24756, 25709, 9334, 25153, 26411, 9328, 9347, 31432, 9317, 25751, 9377, 9296, 31175, 8724, 25826, 12095, 9356, 9637, 26001, 9063];[9085, 9601, 25589, 10087, 9859, 8926, 25458, 8811, 8564, 11950, 8542, 8603, 26411, 9071, 9928, 10124, 25550, 9729, 25853, 9405];[{'lat': -33.5611563, 'lon': -70.5690341}, {'lat': -33.54393816999999, 'lon': -70.56948472}, {'lat': -33.5619201, 'lon': -70.57469436}, {'lat': -33.54940204999999, 'lon': -70.56727545}, {'lat': -33.56178941999999, 'lon': -70.57382892}, {'lat': -33.55891358, 'lon': -70.57867515}, {'lat': -33.55364783999999, 'lon': -70.58945058}, {'lat': -33.554806, 'lon': -70.57688}, {'lat': -33.54447334, 'lon': -70.56921764}, {'lat': -33.5436023, 'lon': -70.5865}, {'lat': -33.52291935, 'lon': -70.59742898}, {'lat': -33.56179800999999, 'lon': -70.57417485}, {'lat': -33.539696, 'lon': -70.57919}, {'lat': -33.54354737, 'lon': -70.57084345}, {'lat': -33.53647359, 'lon': -70.5766549}, {'lat': -33.56286983999999, 'lon': -70.58466074}, {'lat': -33.55799068999999, 'lon': -70.59232968}, {'lat': -33.55512284, 'lon': -70.62818119}, {'lat': -33.53595055, 'lon': -70.55599089}, {'lat': -33.45841754, 'lon': -70.59406471}];[{'lat': -33.47774987999999, 'lon': -70.60731112}, {'lat': -33.54977143, 'lon': -70.64463024}, {'lat': -33.47388038999999, 'lon': -70.57697679}, {'lat': -33.43412811999999, 'lon': -70.73019633}, {'lat': -33.52135358, 'lon': -70.65553564}, {'lat': -33.42441804, 'lon': -70.61430273}, {'lat': -33.4267667, 'lon': -70.71392242}, {'lat': -33.44761407, 'lon': -70.65796231}, {'lat': -33.43227444, 'lon': -70.68794874}, {'lat': -33.47377344, 'lon': -70.54952088}, {'lat': -33.41036924, 'lon': -70.66255379}, {'lat': -33.44704549, 'lon': -70.66787974}, {'lat': -33.56178941999999, 'lon': -70.57382892}, {'lat': -33.46017922, 'lon': -70.5807979}, {'lat': -33.47107314, 'lon': -70.72022276}, {'lat': -33.42875576, 'lon': -70.76487576}, {'lat': -33.49048136999999, 'lon': -70.76841575}, {'lat': -33.50233313999999, 'lon': -70.68227832}, {'lat': -33.35796100999999, 'lon': -70.72128708}, {'lat': -33.49040741999999, 'lon': -70.65607108}]
4293021;-33,4742196;-70,7543651;[8563, 24423, 8666, 10337, 8680, 8533, 8546, 8513, 8643, 9967, 8649, 8576, 8614, 10324, 10333, 24558, 8501, 25138, 8740, 24722];[9085, 9601, 25589, 25458, 8811, 9859, 10087, 8926, 8564, 25550, 26411, 10124, 8603, 11950, 9729, 9071, 9422, 9928, 9405, 8542];[{'lat': -33.44957134, 'lon': -70.63669304}, {'lat': -33.38217153, 'lon': -70.64286727}, {'lat': -33.46783309, 'lon': -70.63800235}, {'lat': -33.37498257, 'lon': -70.63959733}, {'lat': -33.45476526, 'lon': -70.63096436}, {'lat': -33.44976157, 'lon': -70.63183657}, {'lat': -33.42700918, 'lon': -70.64669818}, {'lat': -33.44986649, 'lon': -70.64029999}, {'lat': -33.44523916, 'lon': -70.64268438}, {'lat': -33.51861359, 'lon': -70.75718188}, {'lat': -33.44961141999999, 'lon': -70.66456751}, {'lat': -33.46795786, 'lon': -70.62786296}, {'lat': -33.41236812999999, 'lon': -70.63803656}, {'lat': -33.37478971, 'lon': -70.64029001}, {'lat': -33.39836347, 'lon': -70.6363131}, {'lat': -33.4455943, 'lon': -70.64144184}, {'lat': -33.45007738, 'lon': -70.63732245}, {'lat': -33.40193341, 'lon': -70.65727563}, {'lat': -33.44353792999999, 'lon': -70.67464907}, {'lat': -33.37465422999999, 'lon': -70.62750323}];[{'lat': -33.47774987999999, 'lon': -70.60731112}, {'lat': -33.54977143, 'lon': -70.64463024}, {'lat': -33.47388038999999, 'lon': -70.57697679}, {'lat': -33.4267667, 'lon': -70.71392242}, {'lat': -33.44761407, 'lon': -70.65796231}, {'lat': -33.52135358, 'lon': -70.65553564}, {'lat': -33.43412811999999, 'lon': -70.73019633}, {'lat': -33.42441804, 'lon': -70.61430273}, {'lat': -33.43227444, 'lon': -70.68794874}, {'lat': -33.49048136999999, 'lon': -70.76841575}, {'lat': -33.56178941999999, 'lon': -70.57382892}, {'lat': -33.42875576, 'lon': -70.76487576}, {'lat': -33.44704549, 'lon': -70.66787974}, {'lat': -33.47377344, 'lon': -70.54952088}, {'lat': -33.50233313999999, 'lon': -70.68227832}, {'lat': -33.46017922, 'lon': -70.5807979}, {'lat': -33.48876640999999, 'lon': -70.66537197}, {'lat': -33.47107314, 'lon': -70.72022276}, {'lat': -33.49040741999999, 'lon': -70.65607108}, {'lat': -33.41036924, 'lon': -70.66255379}]
4314951;-33,4551649;-70,6647337;[8835, 8849, 24486, 8841, 12225, 25395, 26037, 25767, 8828, 24473, 8854, 8821, 8818, 8819, 9063, 8827, 9097, 9064, 9065, 9060];[9085, 9601, 25589, 8926, 25458, 10087, 8811, 26411, 9859, 8564, 8603, 8542, 9071, 10124, 25101, 25550, 9405, 25853, 11950, 9187];[{'lat': -33.42566016, 'lon': -70.5316773}, {'lat': -33.40571652, 'lon': -70.54043628}, {'lat': -33.35082404, 'lon': -70.50700886}, {'lat': -33.36166739, 'lon': -70.5043675}, {'lat': -33.3611543, 'lon': -70.50548959}, {'lat': -33.36419678, 'lon': -70.49712536}, {'lat': -33.3642831, 'lon': -70.4990235}, {'lat': -33.41157772999999, 'lon': -70.55218473}, {'lat': -33.42619601, 'lon': -70.55425887}, {'lat': -33.421473, 'lon': -70.558532}, {'lat': -33.41938174, 'lon': -70.5888458}, {'lat': -33.38827666, 'lon': -70.54939272}, {'lat': -33.42563894, 'lon': -70.55495696}, {'lat': -33.39516306, 'lon': -70.55416897}, {'lat': -33.45841754, 'lon': -70.59406471}, {'lat': -33.40571306999999, 'lon': -70.56107434}, {'lat': -33.45652629, 'lon': -70.59439404}, {'lat': -33.45212157999999, 'lon': -70.58044022}, {'lat': -33.45186477, 'lon': -70.5915041}, {'lat': -33.4659126, 'lon': -70.60651537}];[{'lat': -33.47774987999999, 'lon': -70.60731112}, {'lat': -33.54977143, 'lon': -70.64463024}, {'lat': -33.47388038999999, 'lon': -70.57697679}, {'lat': -33.42441804, 'lon': -70.61430273}, {'lat': -33.4267667, 'lon': -70.71392242}, {'lat': -33.43412811999999, 'lon': -70.73019633}, {'lat': -33.44761407, 'lon': -70.65796231}, {'lat': -33.56178941999999, 'lon': -70.57382892}, {'lat': -33.52135358, 'lon': -70.65553564}, {'lat': -33.43227444, 'lon': -70.68794874}, {'lat': -33.44704549, 'lon': -70.66787974}, {'lat': -33.41036924, 'lon': -70.66255379}, {'lat': -33.46017922, 'lon': -70.5807979}, {'lat': -33.42875576, 'lon': -70.76487576}, {'lat': -33.45951912, 'lon': -70.53472447}, {'lat': -33.49048136999999, 'lon': -70.76841575}, {'lat': -33.49040741999999, 'lon': -70.65607108}, {'lat': -33.35796100999999, 'lon': -70.72128708}, {'lat': -33.47377344, 'lon': -70.54952088}, {'lat': -33.5051494, 'lon': -70.60778092}]
10166702;-33,4557068;-70,5376205;[25733, 10247, 25387, 25599, 10246, 25386, 25969, 10239, 25853, 25988, 26083, 10240, 25225, 25593, 24520, 25542, 24881, 24999, 25961, 25797];[9085, 9601, 25589, 8926, 10124, 10087, 9859, 25458, 8564, 26411, 9071, 11950, 8542, 25550, 9405, 8811, 25101, 25853, 9729, 9422];[{'lat': -33.35549321, 'lon': -70.73990359}, {'lat': -33.36708946, 'lon': -70.73171811}, {'lat': -33.36231712, 'lon': -70.75345495}, {'lat': -33.35859709999999, 'lon': -70.73988447}, {'lat': -33.36956700999999, 'lon': -70.73572442}, {'lat': -33.36287518999999, 'lon': -70.72137879}, {'lat': -33.35556417, 'lon': -70.73925187}, {'lat': -33.36681973999999, 'lon': -70.73559355}, {'lat': -33.35796100999999, 'lon': -70.72128708}, {'lat': -33.364773, 'lon': -70.75768972}, {'lat': -33.37063599999999, 'lon': -70.71962767}, {'lat': -33.367279, 'lon': -70.71665627}, {'lat': -33.3688604, 'lon': -70.736824}, {'lat': -33.36900608, 'lon': -70.72851845}, {'lat': -33.36530653, 'lon': -70.70479879}, {'lat': -33.36935125, 'lon': -70.72428891}, {'lat': -33.36935402, 'lon': -70.72910117}, {'lat': -33.36528526, 'lon': -70.7538659}, {'lat': -33.35725613999999, 'lon': -70.73737333}, {'lat': -33.37732411, 'lon': -70.72770616}];[{'lat': -33.47774987999999, 'lon': -70.60731112}, {'lat': -33.54977143, 'lon': -70.64463024}, {'lat': -33.47388038999999, 'lon': -70.57697679}, {'lat': -33.42441804, 'lon': -70.61430273}, {'lat': -33.42875576, 'lon': -70.76487576}, {'lat': -33.43412811999999, 'lon': -70.73019633}, {'lat': -33.52135358, 'lon': -70.65553564}, {'lat': -33.4267667, 'lon': -70.71392242}, {'lat': -33.43227444, 'lon': -70.68794874}, {'lat': -33.56178941999999, 'lon': -70.57382892}, {'lat': -33.46017922, 'lon': -70.5807979}, {'lat': -33.47377344, 'lon': -70.54952088}, {'lat': -33.41036924, 'lon': -70.66255379}, {'lat': -33.49048136999999, 'lon': -70.76841575}, {'lat': -33.49040741999999, 'lon': -70.65607108}, {'lat': -33.44761407, 'lon': -70.65796231}, {'lat': -33.45951912, 'lon': -70.53472447}, {'lat': -33.35796100999999, 'lon': -70.72128708}, {'lat': -33.50233313999999, 'lon': -70.68227832}, {'lat': -33.48876640999999, 'lon': -70.66537197}]
14705544;-33,422657;-70,6698106;[31378, 8825, 8833, 8819, 25969, 8944, 8740, 24622, 8676, 25402, 8954, 10246, 31299, 8854, 8818, 8536, 25349, 8661, 8632, 11965];[9085, 25589, 9601, 10087, 9859, 8926, 8564, 25458, 11950, 9405, 10124, 8811, 26411, 9729, 9071, 8542, 25838, 9928, 25853, 25550];[{'lat': -33.34877, 'lon': -70.72874}, {'lat': -33.38992646, 'lon': -70.5591368}, {'lat': -33.38806398, 'lon': -70.57974941}, {'lat': -33.39516306, 'lon': -70.55416897}, {'lat': -33.35556417, 'lon': -70.73925187}, {'lat': -33.44304994, 'lon': -70.59659856}, {'lat': -33.44353792999999, 'lon': -70.67464907}, {'lat': -33.44308998999999, 'lon': -70.67090523}, {'lat': -33.45942826, 'lon': -70.67636398}, {'lat': -33.43088782, 'lon': -70.6284684}, {'lat': -33.43362144999999, 'lon': -70.63292953}, {'lat': -33.36956700999999, 'lon': -70.73572442}, {'lat': -33.366478, 'lon': -70.73623}, {'lat': -33.41938174, 'lon': -70.5888458}, {'lat': -33.42563894, 'lon': -70.55495696}, {'lat': -33.43965974, 'lon': -70.67474682}, {'lat': -33.36191173, 'lon': -70.72896112}, {'lat': -33.46163013999999, 'lon': -70.64299255}, {'lat': -33.40708328, 'lon': -70.64873606}, {'lat': -33.39045097999999, 'lon': -70.65532689}];[{'lat': -33.47774987999999, 'lon': -70.60731112}, {'lat': -33.47388038999999, 'lon': -70.57697679}, {'lat': -33.54977143, 'lon': -70.64463024}, {'lat': -33.43412811999999, 'lon': -70.73019633}, {'lat': -33.52135358, 'lon': -70.65553564}, {'lat': -33.42441804, 'lon': -70.61430273}, {'lat': -33.43227444, 'lon': -70.68794874}, {'lat': -33.4267667, 'lon': -70.71392242}, {'lat': -33.47377344, 'lon': -70.54952088}, {'lat': -33.49040741999999, 'lon': -70.65607108}, {'lat': -33.42875576, 'lon': -70.76487576}, {'lat': -33.44761407, 'lon': -70.65796231}, {'lat': -33.56178941999999, 'lon': -70.57382892}, {'lat': -33.50233313999999, 'lon': -70.68227832}, {'lat': -33.46017922, 'lon': -70.5807979}, {'lat': -33.41036924, 'lon': -70.66255379}, {'lat': -33.44395416999999, 'lon': -70.72220958}, {'lat': -33.47107314, 'lon': -70.72022276}, {'lat': -33.35796100999999, 'lon': -70.72128708}, {'lat': -33.49048136999999, 'lon': -70.76841575}]
20884113;-33,4696151;-70,7686598;[10344, 10253, 10336, 10332, 25396, 10259, 11965, 10385, 10329, 9967, 10348, 10269, 10351, 10251, 10334, 10223, 10301, 31394, 8616, 9947];[9085, 9601, 25589, 10087, 9859, 25458, 8811, 8926, 25550, 8564, 26411, 8542, 10124, 11950, 8603, 9071, 9928, 9405, 25853, 9187];[{'lat': -33.39090138, 'lon': -70.67481829}, {'lat': -33.39636702, 'lon': -70.66311222}, {'lat': -33.38441333, 'lon': -70.67975904}, {'lat': -33.38396938999999, 'lon': -70.67797712}, {'lat': -33.38186548, 'lon': -70.66200969}, {'lat': -33.39929925, 'lon': -70.66823613}, {'lat': -33.39045097999999, 'lon': -70.65532689}, {'lat': -33.3713421, 'lon': -70.69078266}, {'lat': -33.39112361, 'lon': -70.67462279}, {'lat': -33.51861359, 'lon': -70.75718188}, {'lat': -33.38288880999999, 'lon': -70.68198134}, {'lat': -33.37273641, 'lon': -70.68165689}, {'lat': -33.37182009, 'lon': -70.68013941}, {'lat': -33.37003144, 'lon': -70.69107767}, {'lat': -33.39665233, 'lon': -70.67256715}, {'lat': -33.41190513, 'lon': -70.6745079}, {'lat': -33.38870845, 'lon': -70.67837993}, {'lat': -33.36839299999999, 'lon': -70.68813}, {'lat': -33.42078067, 'lon': -70.65681068}, {'lat': -33.50360544, 'lon': -70.71201881}];[{'lat': -33.47774987999999, 'lon': -70.60731112}, {'lat': -33.54977143, 'lon': -70.64463024}, {'lat': -33.47388038999999, 'lon': -70.57697679}, {'lat': -33.43412811999999, 'lon': -70.73019633}, {'lat': -33.52135358, 'lon': -70.65553564}, {'lat': -33.4267667, 'lon': -70.71392242}, {'lat': -33.44761407, 'lon': -70.65796231}, {'lat': -33.42441804, 'lon': -70.61430273}, {'lat': -33.49048136999999, 'lon': -70.76841575}, {'lat': -33.43227444, 'lon': -70.68794874}, {'lat': -33.56178941999999, 'lon': -70.57382892}, {'lat': -33.41036924, 'lon': -70.66255379}, {'lat': -33.42875576, 'lon': -70.76487576}, {'lat': -33.47377344, 'lon': -70.54952088}, {'lat': -33.44704549, 'lon': -70.66787974}, {'lat': -33.46017922, 'lon': -70.5807979}, {'lat': -33.47107314, 'lon': -70.72022276}, {'lat': -33.49040741999999, 'lon': -70.65607108}, {'lat': -33.35796100999999, 'lon': -70.72128708}, {'lat': -33.5051494, 'lon': -70.60778092}]
25712863;-33,4459249;-70,6476271;[9771, 9758, 9827, 24946, 31030, 9860, 9693, 9472, 9801, 9811, 25995, 9829, 9797, 9779, 9859, 25562, 9766, 11918, 9377, 9407];[9085, 9601, 25589, 8926, 25458, 8811, 10087, 9859, 9071, 10124, 8542, 25550, 8564, 26411, 9405, 11950, 25101, 9729, 25853, 9187];[{'lat': -33.52396165999999, 'lon': -70.65101157}, {'lat': -33.53079557, 'lon': -70.66546386}, {'lat': -33.54318864999999, 'lon': -70.66151495}, {'lat': -33.56434917, 'lon': -70.63014486}, {'lat': -33.539676, 'lon': -70.65618}, {'lat': -33.52119803, 'lon': -70.65822211}, {'lat': -33.54133967, 'lon': -70.65970618}, {'lat': -33.50924829, 'lon': -70.65673034}, {'lat': -33.52937619, 'lon': -70.65171822}, {'lat': -33.53940233, 'lon': -70.66693374}, {'lat': -33.54357439999999, 'lon': -70.66104028}, {'lat': -33.54412769999999, 'lon': -70.6558275}, {'lat': -33.53763485, 'lon': -70.6682878}, {'lat': -33.53483086, 'lon': -70.6544089}, {'lat': -33.52135358, 'lon': -70.65553564}, {'lat': -33.56188439999999, 'lon': -70.63087038}, {'lat': -33.54494693, 'lon': -70.66794358}, {'lat': -33.539548, 'lon': -70.66740036}, {'lat': -33.52291935, 'lon': -70.59742898}, {'lat': -33.48936244, 'lon': -70.65774866}];[{'lat': -33.47774987999999, 'lon': -70.60731112}, {'lat': -33.54977143, 'lon': -70.64463024}, {'lat': -33.47388038999999, 'lon': -70.57697679}, {'lat': -33.42441804, 'lon': -70.61430273}, {'lat': -33.4267667, 'lon': -70.71392242}, {'lat': -33.44761407, 'lon': -70.65796231}, {'lat': -33.43412811999999, 'lon': -70.73019633}, {'lat': -33.52135358, 'lon': -70.65553564}, {'lat': -33.46017922, 'lon': -70.5807979}, {'lat': -33.42875576, 'lon': -70.76487576}, {'lat': -33.41036924, 'lon': -70.66255379}, {'lat': -33.49048136999999, 'lon': -70.76841575}, {'lat': -33.43227444, 'lon': -70.68794874}, {'lat': -33.56178941999999, 'lon': -70.57382892}, {'lat': -33.49040741999999, 'lon': -70.65607108}, {'lat': -33.47377344, 'lon': -70.54952088}, {'lat': -33.45951912, 'lon': -70.53472447}, {'lat': -33.50233313999999, 'lon': -70.68227832}, {'lat': -33.35796100999999, 'lon': -70.72128708}, {'lat': -33.5051494, 'lon': -70.60778092}]
26033053;-33,450776;-70,6383747;[41617, 8821, 8825, 25395, 26037, 8833, 8827, 24473, 8854, 9071, 9905, 8676, 9073, 9097, 9063, 8666, 9766, 10337, 25369, 9827];[9085, 9601, 25589, 10087, 9859, 8926, 26411, 25458, 8811, 25550, 8542, 8603, 10124, 9071, 9405, 8564, 25101, 11950, 9187, 25853];[{'lat': -33.41545, 'lon': -70.53521}, {'lat': -33.38827666, 'lon': -70.54939272}, {'lat': -33.38992646, 'lon': -70.5591368}, {'lat': -33.36419678, 'lon': -70.49712536}, {'lat': -33.3642831, 'lon': -70.4990235}, {'lat': -33.38806398, 'lon': -70.57974941}, {'lat': -33.40571306999999, 'lon': -70.56107434}, {'lat': -33.421473, 'lon': -70.558532}, {'lat': -33.41938174, 'lon': -70.5888458}, {'lat': -33.46017922, 'lon': -70.5807979}, {'lat': -33.49613737, 'lon': -70.76092139}, {'lat': -33.45942826, 'lon': -70.67636398}, {'lat': -33.46739669, 'lon': -70.60644854}, {'lat': -33.45652629, 'lon': -70.59439404}, {'lat': -33.45841754, 'lon': -70.59406471}, {'lat': -33.46783309, 'lon': -70.63800235}, {'lat': -33.54494693, 'lon': -70.66794358}, {'lat': -33.37498257, 'lon': -70.63959733}, {'lat': -33.47521664, 'lon': -70.75730314}, {'lat': -33.54318864999999, 'lon': -70.66151495}];[{'lat': -33.47774987999999, 'lon': -70.60731112}, {'lat': -33.54977143, 'lon': -70.64463024}, {'lat': -33.47388038999999, 'lon': -70.57697679}, {'lat': -33.43412811999999, 'lon': -70.73019633}, {'lat': -33.52135358, 'lon': -70.65553564}, {'lat': -33.42441804, 'lon': -70.61430273}, {'lat': -33.56178941999999, 'lon': -70.57382892}, {'lat': -33.4267667, 'lon': -70.71392242}, {'lat': -33.44761407, 'lon': -70.65796231}, {'lat': -33.49048136999999, 'lon': -70.76841575}, {'lat': -33.41036924, 'lon': -70.66255379}, {'lat': -33.44704549, 'lon': -70.66787974}, {'lat': -33.42875576, 'lon': -70.76487576}, {'lat': -33.46017922, 'lon': -70.5807979}, {'lat': -33.49040741999999, 'lon': -70.65607108}, {'lat': -33.43227444, 'lon': -70.68794874}, {'lat': -33.45951912, 'lon': -70.53472447}, {'lat': -33.47377344, 'lon': -70.54952088}, {'lat': -33.5051494, 'lon': -70.60778092}, {'lat': -33.35796100999999, 'lon': -70.72128708}]
26551250;-33,5425905;-70,6525428;[9917, 11936, 25186, 26209, 25331, 9967, 25198, 25770, 31065, 9909, 25808, 9867, 26436, 24883, 25042, 9945, 9897, 9864, 9889, 26368];[9085, 9601, 25589, 8926, 25458, 10087, 8564, 8811, 9071, 9859, 8542, 10124, 26411, 9405, 11950, 9729, 25101, 25550, 25853, 8603];[{'lat': -33.51055005, 'lon': -70.77584284}, {'lat': -33.51625034, 'lon': -70.78584447}, {'lat': -33.50871344, 'lon': -70.79543767}, {'lat': -33.51159078, 'lon': -70.79701194}, {'lat': -33.50988153, 'lon': -70.78879816}, {'lat': -33.51861359, 'lon': -70.75718188}, {'lat': -33.48429489, 'lon': -70.74619278}, {'lat': -33.519165, 'lon': -70.79245418}, {'lat': -33.528244, 'lon': -70.79683}, {'lat': -33.5151854, 'lon': -70.7642677}, {'lat': -33.52186111999999, 'lon': -70.7866748}, {'lat': -33.50955924, 'lon': -70.74725518}, {'lat': -33.50016212, 'lon': -70.78104543}, {'lat': -33.51233641999999, 'lon': -70.78513792}, {'lat': -33.52949773, 'lon': -70.77341876}, {'lat': -33.50405544, 'lon': -70.7671735}, {'lat': -33.4994248, 'lon': -70.74433865}, {'lat': -33.50340173, 'lon': -70.76915488}, {'lat': -33.50718521, 'lon': -70.78259673}, {'lat': -33.56125999999999, 'lon': -70.79095}];[{'lat': -33.47774987999999, 'lon': -70.60731112}, {'lat': -33.54977143, 'lon': -70.64463024}, {'lat': -33.47388038999999, 'lon': -70.57697679}, {'lat': -33.42441804, 'lon': -70.61430273}, {'lat': -33.4267667, 'lon': -70.71392242}, {'lat': -33.43412811999999, 'lon': -70.73019633}, {'lat': -33.43227444, 'lon': -70.68794874}, {'lat': -33.44761407, 'lon': -70.65796231}, {'lat': -33.46017922, 'lon': -70.5807979}, {'lat': -33.52135358, 'lon': -70.65553564}, {'lat': -33.41036924, 'lon': -70.66255379}, {'lat': -33.42875576, 'lon': -70.76487576}, {'lat': -33.56178941999999, 'lon': -70.57382892}, {'lat': -33.49040741999999, 'lon': -70.65607108}, {'lat': -33.47377344, 'lon': -70.54952088}, {'lat': -33.50233313999999, 'lon': -70.68227832}, {'lat': -33.45951912, 'lon': -70.53472447}, {'lat': -33.49048136999999, 'lon': -70.76841575}, {'lat': -33.35796100999999, 'lon': -70.72128708}, {'lat': -33.44704549, 'lon': -70.66787974}]
27635477;-33,4771398;-70,6454671;[12260, 8513, 24558, 8530, 8549, 8533, 8659, 9073, 8676, 9097, 8627, 8680, 8562, 8581, 9091, 8652, 8661, 9147, 9089, 9102];[9085, 9601, 25589, 10087, 9859, 25458, 8811, 8564, 8603, 26411, 10124, 8926, 11950, 9928, 9729, 8542, 9405, 25550, 25853, 9071];[{'lat': -33.45095264999999, 'lon': -70.63148132}, {'lat': -33.44986649, 'lon': -70.64029999}, {'lat': -33.4455943, 'lon': -70.64144184}, {'lat': -33.44870941, 'lon': -70.65670874}, {'lat': -33.45677263999999, 'lon': -70.65366284}, {'lat': -33.44976157, 'lon': -70.63183657}, {'lat': -33.45872278, 'lon': -70.64651169}, {'lat': -33.46739669, 'lon': -70.60644854}, {'lat': -33.45942826, 'lon': -70.67636398}, {'lat': -33.45652629, 'lon': -70.59439404}, {'lat': -33.45235006, 'lon': -70.64425534}, {'lat': -33.45476526, 'lon': -70.63096436}, {'lat': -33.46092709, 'lon': -70.64804215}, {'lat': -33.46615535, 'lon': -70.65276247}, {'lat': -33.46806327, 'lon': -70.60057686}, {'lat': -33.43779818, 'lon': -70.66923128}, {'lat': -33.46163013999999, 'lon': -70.64299255}, {'lat': -33.47059844, 'lon': -70.58935544}, {'lat': -33.45700956999999, 'lon': -70.59402438}, {'lat': -33.46315650999999, 'lon': -70.61847716}];[{'lat': -33.47774987999999, 'lon': -70.60731112}, {'lat': -33.54977143, 'lon': -70.64463024}, {'lat': -33.47388038999999, 'lon': -70.57697679}, {'lat': -33.43412811999999, 'lon': -70.73019633}, {'lat': -33.52135358, 'lon': -70.65553564}, {'lat': -33.4267667, 'lon': -70.71392242}, {'lat': -33.44761407, 'lon': -70.65796231}, {'lat': -33.43227444, 'lon': -70.68794874}, {'lat': -33.44704549, 'lon': -70.66787974}, {'lat': -33.56178941999999, 'lon': -70.57382892}, {'lat': -33.42875576, 'lon': -70.76487576}, {'lat': -33.42441804, 'lon': -70.61430273}, {'lat': -33.47377344, 'lon': -70.54952088}, {'lat': -33.47107314, 'lon': -70.72022276}, {'lat': -33.50233313999999, 'lon': -70.68227832}, {'lat': -33.41036924, 'lon': -70.66255379}, {'lat': -33.49040741999999, 'lon': -70.65607108}, {'lat': -33.49048136999999, 'lon': -70.76841575}, {'lat': -33.35796100999999, 'lon': -70.72128708}, {'lat': -33.46017922, 'lon': -70.5807979}]
