color,lat,lon
#e6194B,-33.5611563,-70.5690341
#e6194B,-33.54393816999999,-70.56948472
#e6194B,-33.5619201,-70.57469436
#e6194B,-33.54940204999999,-70.56727545
#e6194B,-33.56178941999999,-70.57382892
#e6194B,-33.55891358,-70.57867515
#e6194B,-33.55364783999999,-70.58945058
#e6194B,-33.554806,-70.57688
#e6194B,-33.54447334,-70.56921764
#e6194B,-33.5436023,-70.5865
#e6194B,-33.52291935,-70.59742898
#e6194B,-33.56179800999999,-70.57417485
#e6194B,-33.539696,-70.57919
#e6194B,-33.54354737,-70.57084345
#e6194B,-33.53647359,-70.5766549
#e6194B,-33.56286983999999,-70.58466074
#e6194B,-33.55799068999999,-70.59232968
#e6194B,-33.55512284,-70.62818119
#e6194B,-33.53595055,-70.55599089
#e6194B,-33.45841754,-70.59406471
#3cb44b,-33.44957134,-70.63669304
#3cb44b,-33.38217153,-70.64286727
#3cb44b,-33.46783309,-70.63800235
#3cb44b,-33.37498257,-70.63959733
#3cb44b,-33.45476526,-70.63096436
#3cb44b,-33.44976157,-70.63183657
#3cb44b,-33.42700918,-70.64669818
#3cb44b,-33.44986649,-70.64029999
#3cb44b,-33.44523916,-70.64268438
#3cb44b,-33.51861359,-70.75718188
#3cb44b,-33.44961141999999,-70.66456751
#3cb44b,-33.46795786,-70.62786296
#3cb44b,-33.41236812999999,-70.63803656
#3cb44b,-33.37478971,-70.64029001
#3cb44b,-33.39836347,-70.6363131
#3cb44b,-33.4455943,-70.64144184
#3cb44b,-33.45007738,-70.63732245
#3cb44b,-33.40193341,-70.65727563
#3cb44b,-33.44353792999999,-70.67464907
#3cb44b,-33.37465422999999,-70.62750323
#ffe119,-33.42566016,-70.5316773
#ffe119,-33.40571652,-70.54043628
#ffe119,-33.35082404,-70.50700886
#ffe119,-33.36166739,-70.5043675
#ffe119,-33.3611543,-70.50548959
#ffe119,-33.36419678,-70.49712536
#ffe119,-33.3642831,-70.4990235
#ffe119,-33.41157772999999,-70.55218473
#ffe119,-33.42619601,-70.55425887
#ffe119,-33.421473,-70.558532
#ffe119,-33.41938174,-70.5888458
#ffe119,-33.38827666,-70.54939272
