color,lat,lon
#e6194B,-33.57488367,-70.68883552
#e6194B,-33.44784309,-70.69315919
#e6194B,-33.4051111,-70.64571246
#e6194B,-33.43240068,-70.77229196
#e6194B,-33.49658417,-70.66312412
#e6194B,-33.48054588,-70.65530066
#e6194B,-33.51767585999999,-70.64362585
#e6194B,-33.3960469,-70.65270549
#e6194B,-33.46759027,-70.55256971
#e6194B,-33.52665484,-70.61396037
#e6194B,-33.44464675999999,-70.75041335
#e6194B,-33.51665706,-70.75011595
#e6194B,-33.36708946,-70.73171811
#e6194B,-33.48720121,-70.63987727
#e6194B,-33.45549342,-70.66865263
#e6194B,-33.47687168,-70.53992444
#e6194B,-33.52022937,-70.56648504
#e6194B,-33.50781099,-70.66596042
#e6194B,-33.48771497,-70.73790632
#e6194B,-33.48936244,-70.65774866
#3cb44b,-33.43719845999999,-70.66974847
#3cb44b,-33.56033158,-70.66630028
#3cb44b,-33.41938174,-70.5888458
#3cb44b,-33.50972156,-70.79033443
#3cb44b,-33.55313221,-70.67440104
#3cb44b,-33.56457979,-70.57971505
#3cb44b,-33.407204,-70.749016
#3cb44b,-33.52673992999999,-70.58316775
#3cb44b,-33.37401336,-70.64241618
#3cb44b,-33.54199024999999,-70.59236863
#3cb44b,-33.44133926,-70.69829994
#3cb44b,-33.366478,-70.73623
#3cb44b,-33.49614513,-70.62961168
#3cb44b,-33.47547233,-70.59440777
#3cb44b,-33.50680207,-70.64698936
#3cb44b,-33.50262316,-70.72587956
#3cb44b,-33.43861917,-70.67364004
#3cb44b,-33.5436023,-70.5865
#3cb44b,-33.58015446999999,-70.657241
#3cb44b,-33.52431923,-70.63572042
#ffe119,-33.56434917,-70.63014486
#ffe119,-33.54052316,-70.67740416
#ffe119,-33.45212157999999,-70.58044022
#ffe119,-33.39025525,-70.64273366
#ffe119,-33.62414862,-70.62857201
#ffe119,-33.45423061,-70.67438866
#ffe119,-33.55032832,-70.58896548
#ffe119,-33.39836347,-70.6363131
#ffe119,-33.54886574999999,-70.76765823
#ffe119,-33.52653277,-70.76910401
#ffe119,-33.41365608,-70.75287839
#ffe119,-33.53003089,-70.62330094
#ffe119,-33.50910799999999,-70.678897
#ffe119,-33.52106046,-70.5592029
#ffe119,-33.51493608,-70.76275292
#ffe119,-33.40191141999999,-70.6775681
#ffe119,-33.42472532,-70.73740401
#ffe119,-33.47361062,-70.70516895
#ffe119,-33.52291935,-70.59742898
#ffe119,-33.46795786,-70.62786296
#4363d8,-33.44209714,-70.65630131
#4363d8,-33.50098922,-70.65354118
#4363d8,-33.45601648,-70.69874984
#4363d8,-33.62186771999999,-70.62803369
#4363d8,-33.43007895,-70.73796488
#4363d8,-33.43533682999999,-70.72778904
#4363d8,-33.43088782,-70.6284684
#4363d8,-33.44242110999999,-70.67800391
#4363d8,-33.42858364,-70.64461953
#4363d8,-33.519165,-70.79245418
#4363d8,-33.41379214,-70.7449497
#4363d8,-33.46171549999999,-70.62379065
#4363d8,-33.46542626,-70.58306907
#4363d8,-33.36528526,-70.7538659
#4363d8,-33.455643,-70.66915552
#4363d8,-33.51408794999999,-70.6377727
#4363d8,-33.45613414,-70.65322898
#4363d8,-33.3688604,-70.736824
#4363d8,-33.50352127,-70.57830248
#4363d8,-33.38396938999999,-70.67797712
#f58231,-33.46603649,-70.70288555
#f58231,-33.53200866,-70.58222615
#f58231,-33.54918004999999,-70.65532033
#f58231,-33.41270393,-70.6364024
#f58231,-33.47826403,-70.66817507
#f58231,-33.50235159999999,-70.72849209
#f58231,-33.42720742,-70.71011731
#f58231,-33.58034729,-70.66967191
#f58231,-33.40826233,-70.69279868
#f58231,-33.43579969999999,-70.61905036
#f58231,-33.45439879,-70.62992302
#f58231,-33.42676199999999,-70.70001164
#f58231,-33.45500441,-70.70421327
#f58231,-33.51989686,-70.638285
#f58231,-33.45095264999999,-70.63148132
#f58231,-33.38061093999999,-70.68575489
#f58231,-33.41819706999999,-70.71444995
#f58231,-33.43108676,-70.71913695
#f58231,-33.51572109,-70.58501966
#f58231,-33.45481469,-70.66141001
#911eb4,-33.53470899,-70.61661188
#911eb4,-33.42700918,-70.64669818
#911eb4,-33.36578778,-70.74235686
#911eb4,-33.49015584,-70.6506494
#911eb4,-33.5330054,-70.6071715
#911eb4,-33.47836714,-70.63618339
#911eb4,-33.39836347,-70.6363131
#911eb4,-33.45135443,-70.54994039
#911eb4,-33.45737233,-70.63288797
#911eb4,-33.44721264999999,-70.6976603
#911eb4,-33.40020342999999,-70.65111465
#911eb4,-33.37548506,-70.68012656
#911eb4,-33.42738456,-70.71088276
#911eb4,-33.50895698,-70.72668105
#911eb4,-33.36419678,-70.49712536
#911eb4,-33.44063348,-70.76215099
#911eb4,-33.40249084,-70.6354352
#911eb4,-33.49658417,-70.66312412
#911eb4,-33.46739669,-70.60644854
#911eb4,-33.43739888,-70.68771172
#42d4f4,-33.51093318,-70.66351589
#42d4f4,-33.47988577999999,-70.52837241
#42d4f4,-33.49666507,-70.62856671
#42d4f4,-33.4680096,-70.72247585
#42d4f4,-33.4228791,-70.7569154
#42d4f4,-33.52624222,-70.66823874
#42d4f4,-33.59745357,-70.62707899
#42d4f4,-33.36956700999999,-70.73572442
#42d4f4,-33.54495374999999,-70.77258211
#42d4f4,-33.47170655,-70.72551617
#42d4f4,-33.36128327,-70.73088382
#42d4f4,-33.44334781,-70.74194066
#42d4f4,-33.42619601,-70.55425887
#42d4f4,-33.44784309,-70.69315919
#42d4f4,-33.539696,-70.57919
#42d4f4,-33.51075376,-70.72421283
#42d4f4,-33.43402154999999,-70.75469708
#42d4f4,-33.4013313,-70.72015431
#42d4f4,-33.46739669,-70.60644854
#42d4f4,-33.45212157999999,-70.58044022
#f032e6,-33.50497266,-70.68580051
#f032e6,-33.43265348,-70.61798467
#f032e6,-33.42921616999999,-70.71656416
#f032e6,-33.55112574999999,-70.62864054
#f032e6,-33.36419678,-70.49712536
#f032e6,-33.45776820999999,-70.76089443
#f032e6,-33.42659534,-70.6954836
#f032e6,-33.44124725999999,-70.69895719
#f032e6,-33.4731034,-70.53794578
#f032e6,-33.5297624,-70.64272504
#f032e6,-33.44487089999999,-70.65030401
#f032e6,-33.50799829999999,-70.65292213
#f032e6,-33.40979197,-70.66251778
#f032e6,-33.46052062999999,-70.61981975
#f032e6,-33.52518083999999,-70.70263032
#f032e6,-33.46795786,-70.62786296
#f032e6,-33.43966490999999,-70.61657629
#f032e6,-33.48429489,-70.74619278
#f032e6,-33.40826233,-70.69279868
#f032e6,-33.45700956999999,-70.59402438
#bfef45,-33.62247313,-70.63324941
#bfef45,-33.47750005999999,-70.73899872
#bfef45,-33.5001845,-70.75573673
#bfef45,-33.46439883,-70.55651512
#bfef45,-33.45397021,-70.61146445
#bfef45,-33.46592561,-70.75050516
#bfef45,-33.38516368,-70.64526119
#bfef45,-33.51935004,-70.64109271
#bfef45,-33.36900608,-70.72851845
#bfef45,-33.49015584,-70.6506494
#bfef45,-33.49969075,-70.75924528
#bfef45,-33.55564982,-70.61818898
#bfef45,-33.48183895999999,-70.69316402
#bfef45,-33.44102148999999,-70.67965152
#bfef45,-33.53769308999999,-70.58909095
#bfef45,-33.4625976,-70.7375492
#bfef45,-33.5400313,-70.77689954
#bfef45,-33.62135834,-70.64250763
#bfef45,-33.39329536999999,-70.69644571
#bfef45,-33.40801874999999,-70.63634189
#fabed4,-33.50602268,-70.7252395
#fabed4,-33.45381458,-70.70763408
#fabed4,-33.38153869,-70.67684986
#fabed4,-33.39636702,-70.66311222
#fabed4,-33.451304,-70.63777581
#fabed4,-33.42060123,-70.53628614
#fabed4,-33.4051111,-70.64571246
#fabed4,-33.61783021,-70.63842253
#fabed4,-33.43146413,-70.67549745
#fabed4,-33.49246269,-70.5827351
#fabed4,-33.38870845,-70.67837993
#fabed4,-33.54886574999999,-70.76765823
#fabed4,-33.38702998,-70.66150647
#fabed4,-33.53762321,-70.64003838
#fabed4,-33.55364783999999,-70.58945058
#fabed4,-33.46203451,-70.69947367
#fabed4,-33.50157888999999,-70.68742747
#fabed4,-33.50822202,-70.7421403
#fabed4,-33.51935004,-70.64109271
#fabed4,-33.47219384,-70.62537056
